{'start_epoch': 1657924623, 'end_epoch': 1657925044, 'buy_price': 20850.58, 'sell_price': 20858.92, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1657925343, 'end_epoch': 1657925643, 'buy_price': 20887.53, 'sell_price': 20895.89, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1657925762, 'end_epoch': 1657925824, 'buy_price': 20892.92, 'sell_price': 20881.3, 'profit': -0.00056, 'trail_stop': None}
{'start_epoch': 1657928822, 'end_epoch': 1657929065, 'buy_price': 20844.6, 'sell_price': 20822.47, 'profit': -0.00106, 'trail_stop': None}
{'start_epoch': 1657929723, 'end_epoch': 1657929783, 'buy_price': 20834.8, 'sell_price': 20788.42, 'profit': -0.00223, 'trail_stop': None}
{'start_epoch': 1657929964, 'end_epoch': 1657930384, 'buy_price': 20825.31, 'sell_price': 20833.64, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1657932363, 'end_epoch': 1657932723, 'buy_price': 20712.2, 'sell_price': 20720.48, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1657935603, 'end_epoch': 1657935785, 'buy_price': 20720.59, 'sell_price': 20707.89, 'profit': -0.00061, 'trail_stop': None}
{'start_epoch': 1657938243, 'end_epoch': 1657938603, 'buy_price': 20659.13, 'sell_price': 20651.26, 'profit': -0.00038, 'trail_stop': None}
{'start_epoch': 1657938844, 'end_epoch': 1657939085, 'buy_price': 20667.92, 'sell_price': 20658.18, 'profit': -0.00047, 'trail_stop': None}
{'start_epoch': 1657939202, 'end_epoch': 1657939322, 'buy_price': 20673.75, 'sell_price': 20651.98, 'profit': -0.00105, 'trail_stop': None}
{'start_epoch': 1657939622, 'end_epoch': 1657940163, 'buy_price': 20683.61, 'sell_price': 20691.88, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1657940642, 'end_epoch': 1657940944, 'buy_price': 20707.44, 'sell_price': 20715.72, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1657941363, 'end_epoch': 1657941724, 'buy_price': 20715.92, 'sell_price': 20724.21, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1657941903, 'end_epoch': 1657942323, 'buy_price': 20730.79, 'sell_price': 20739.08, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1657946582, 'end_epoch': 1657946644, 'buy_price': 20701.91, 'sell_price': 20696.19, 'profit': -0.00028, 'trail_stop': None}
{'start_epoch': 1657949284, 'end_epoch': 1657949342, 'buy_price': 20711.21, 'sell_price': 20704.08, 'profit': -0.00034, 'trail_stop': None}
{'start_epoch': 1657950483, 'end_epoch': 1657950664, 'buy_price': 20682.36, 'sell_price': 20656.26, 'profit': -0.00126, 'trail_stop': None}
{'start_epoch': 1657953661, 'end_epoch': 1657953964, 'buy_price': 20544.8, 'sell_price': 20525.89, 'profit': -0.00092, 'trail_stop': None}
{'start_epoch': 1657954143, 'end_epoch': 1657954445, 'buy_price': 20537.28, 'sell_price': 20545.49, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1657955222, 'end_epoch': 1657956065, 'buy_price': 20547.79, 'sell_price': 20556.01, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1657956243, 'end_epoch': 1657956483, 'buy_price': 20598.04, 'sell_price': 20581.56, 'profit': -0.0008, 'trail_stop': None}
{'start_epoch': 1657956962, 'end_epoch': 1657957204, 'buy_price': 20597.34, 'sell_price': 20605.58, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1657958582, 'end_epoch': 1657958944, 'buy_price': 20579.7, 'sell_price': 20587.93, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1657959302, 'end_epoch': 1657959785, 'buy_price': 20607.31, 'sell_price': 20615.55, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1657960023, 'end_epoch': 1657960144, 'buy_price': 20628.32, 'sell_price': 20613.43, 'profit': -0.00072, 'trail_stop': None}
{'start_epoch': 1657960682, 'end_epoch': 1657960983, 'buy_price': 20634.31, 'sell_price': 20642.56, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1657963924, 'end_epoch': 1657964163, 'buy_price': 20623.08, 'sell_price': 20631.33, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1657965422, 'end_epoch': 1657965724, 'buy_price': 20616.3, 'sell_price': 20624.55, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1657967044, 'end_epoch': 1657967523, 'buy_price': 20625.39, 'sell_price': 20633.64, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1657969922, 'end_epoch': 1657970283, 'buy_price': 20635.91, 'sell_price': 20622.0, 'profit': -0.00067, 'trail_stop': None}
{'start_epoch': 1657970464, 'end_epoch': 1657971303, 'buy_price': 20635.82, 'sell_price': 20644.07, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1657972201, 'end_epoch': 1657972503, 'buy_price': 20650.53, 'sell_price': 20629.87, 'profit': -0.001, 'trail_stop': None}
{'start_epoch': 1657975262, 'end_epoch': 1657975504, 'buy_price': 20626.24, 'sell_price': 20634.49, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1657975923, 'end_epoch': 1657976344, 'buy_price': 20629.99, 'sell_price': 20638.24, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1657977423, 'end_epoch': 1657977845, 'buy_price': 20741.49, 'sell_price': 20749.79, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1657978142, 'end_epoch': 1657978324, 'buy_price': 20789.44, 'sell_price': 20761.33, 'profit': -0.00135, 'trail_stop': None}
{'start_epoch': 1657978444, 'end_epoch': 1657978802, 'buy_price': 20789.79, 'sell_price': 20798.11, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1657980603, 'end_epoch': 1657980904, 'buy_price': 20846.66, 'sell_price': 20855.0, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1657985101, 'end_epoch': 1657985463, 'buy_price': 20900.99, 'sell_price': 20909.35, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1657987202, 'end_epoch': 1657988344, 'buy_price': 20941.25, 'sell_price': 20949.63, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1657993623, 'end_epoch': 1657993804, 'buy_price': 21484.84, 'sell_price': 21433.52, 'profit': -0.00239, 'trail_stop': None}
{'start_epoch': 1657998604, 'end_epoch': 1657999206, 'buy_price': 21308.58, 'sell_price': 21317.1, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1658007605, 'end_epoch': 1658008204, 'buy_price': 21260.0, 'sell_price': 21268.5, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1658010002, 'end_epoch': 1658010068, 'buy_price': 21199.13, 'sell_price': 21180.87, 'profit': -0.00086, 'trail_stop': None}
{'start_epoch': 1658010542, 'end_epoch': 1658010905, 'buy_price': 21210.6, 'sell_price': 21219.08, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1658011803, 'end_epoch': 1658012103, 'buy_price': 21258.27, 'sell_price': 21266.77, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1658012282, 'end_epoch': 1658012523, 'buy_price': 21288.9, 'sell_price': 21297.41, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1658015944, 'end_epoch': 1658016962, 'buy_price': 21210.79, 'sell_price': 21219.27, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1658018043, 'end_epoch': 1658018464, 'buy_price': 21262.65, 'sell_price': 21271.16, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1658018943, 'end_epoch': 1658019304, 'buy_price': 21296.33, 'sell_price': 21304.85, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1658019667, 'end_epoch': 1658019963, 'buy_price': 21307.58, 'sell_price': 21316.1, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1658022484, 'end_epoch': 1658022785, 'buy_price': 21146.7, 'sell_price': 21155.16, 'profit': 0.0004, 'trail_stop': None}
